number,latitude,longitude,time,step,surface,valid_time,u10,v10,t2m,cape,msl,sp,tcc,depthBelowLandLayer,swvl1
0,27.5,15.0,2024-01-01,0 days,0.0,2024-01-01,-0.20961475,-1.2860842,283.5088,0.375,102351.31,97185.06,0.21218216,0.0,2.3310771e-05
0,27.5,15.5,2024-01-01,0 days,0.0,2024-01-01,-0.42885303,-1.2987795,283.13965,0.25,102349.81,96784.06,0.20101273,0.0,0.00023693382
0,27.5,16.0,2024-01-01,0 days,0.0,2024-01-01,-0.47182178,-0.9970217,282.66504,0.1875,102351.19,96098.06,0.20000565,0.0,0.009087032
0,27.5,16.5,2024-01-01,0 days,0.0,2024-01-01,-0.3800249,-0.99799824,282.37402,0.1875,102357.56,94839.06,0.19452775,0.0,0.010170406
0,27.5,17.0,2024-01-01,0 days,0.0,2024-01-01,0.35190868,-0.68745136,282.86035,0.25,102352.56,94487.06,0.20075333,0.0,0.009407466
0,27.5,17.5,2024-01-01,0 days,0.0,2024-01-01,1.4397993,-0.6728029,283.36035,0.375,102342.81,94611.06,0.21637833,0.0,0.011406368
0,27.5,18.0,2024-01-01,0 days,0.0,2024-01-01,1.9554243,-0.85688496,284.86426,0.9375,102310.06,96699.06,0.22972977,0.0,0.0014423782
0,27.5,18.5,2024-01-01,0 days,0.0,2024-01-01,1.5081587,-0.8090334,284.90918,3.25,102288.44,98332.06,0.24347794,0.0,0.0006641799
0,27.5,19.0,2024-01-01,0 days,0.0,2024-01-01,1.1810102,-0.5956545,284.44043,4.25,102273.69,99111.06,0.24962723,0.0,0.00167126
0,27.5,19.5,2024-01-01,0 days,0.0,2024-01-01,1.0706587,-0.60688496,284.1787,3.5,102260.44,99459.06,0.24343216,0.0,0.00090832054
0,27.5,20.0,2024-01-01,0 days,0.0,2024-01-01,1.1116743,-0.51020527,284.02832,2.3125,102248.69,99735.06,0.23330033,0.0,0.0030903274
0,27.0,10.0,2024-01-01,0 days,0.0,2024-01-01,-1.4840288,-0.0692873,283.8838,0.0,102348.44,96081.06,0.22748673,0.0,-0.00017505349
0,27.0,10.5,2024-01-01,0 days,0.0,2024-01-01,-1.4127398,-0.098584175,283.55762,0.0,102352.56,96009.06,0.20081437,0.0,-0.00017505349
0,27.0,11.0,2024-01-01,0 days,0.0,2024-01-01,-1.303853,-0.16450214,282.90723,0.0,102354.19,96084.06,0.17868912,0.0,8.051982e-06
0,27.0,11.5,2024-01-01,0 days,0.0,2024-01-01,-0.95180225,-0.2880373,282.4502,0.0625,102355.56,96011.06,0.17707169,0.0,0.005287593
0,27.0,12.0,2024-01-01,0 days,0.0,2024-01-01,-0.5186968,-0.26411152,282.24707,0.0625,102357.06,96106.06,0.18715775,0.0,0.0012897903
0,27.0,12.5,2024-01-01,0 days,0.0,2024-01-01,-0.27260303,-0.32319355,282.47168,0.125,102355.81,96467.06,0.19545853,0.0,0.0044636186
0,27.0,13.0,2024-01-01,0 days,0.0,2024-01-01,-0.2267046,-0.38129902,282.59082,0.5,102353.69,96814.06,0.20053971,0.0,0.013100093
0,27.0,13.5,2024-01-01,0 days,0.0,2024-01-01,-0.31117725,-0.62836933,282.91895,0.6875,102349.56,97064.06,0.19471085,0.0,0.009499019
0,27.0,14.0,2024-01-01,0 days,0.0,2024-01-01,-0.34584522,-0.77680683,283.18066,0.75,102345.81,97263.06,0.19294083,0.0,0.009605831
0,27.0,14.5,2024-01-01,0 days,0.0,2024-01-01,-0.44594288,-1.100049,283.3662,0.5625,102341.94,97238.06,0.19385636,0.0,0.009712642
0,27.0,15.0,2024-01-01,0 days,0.0,2024-01-01,-0.44106007,-1.3158693,283.46973,0.1875,102340.19,97025.06,0.19242203,0.0,8.434593e-05
0,27.0,15.5,2024-01-01,0 days,0.0,2024-01-01,-0.62367725,-1.46626,283.26465,0.0625,102338.31,96766.06,0.1867305,0.0,5.382835e-05
0,27.0,16.0,2024-01-01,0 days,0.0,2024-01-01,-0.91762257,-1.5331545,283.03027,0.0625,102338.19,96518.06,0.18496048,0.0,0.00029796897
0,27.0,16.5,2024-01-01,0 days,0.0,2024-01-01,-0.8253374,-1.534131,282.7373,0.0625,102344.56,95253.06,0.17946732,0.0,0.0014118606
0,27.0,17.0,2024-01-01,0 days,0.0,2024-01-01,-0.47768116,-1.7187014,282.73535,0.125,102344.81,94347.06,0.17627823,0.0,0.0031055862
0,27.0,17.5,2024-01-01,0 days,0.0,2024-01-01,0.61362743,-1.7221193,283.22754,0.25,102336.69,94340.06,0.19292557,0.0,0.0034565383
0,27.0,18.0,2024-01-01,0 days,0.0,2024-01-01,1.3245649,-1.5697756,284.92285,0.5625,102307.06,96449.06,0.22045243,0.0,9.960472e-05
0,27.0,18.5,2024-01-01,0 days,0.0,2024-01-01,0.97251415,-1.1825686,284.86426,1.875,102288.06,98210.06,0.24573624,0.0,0.0001301223
0,27.0,19.0,2024-01-01,0 days,0.0,2024-01-01,0.6517134,-0.90668964,284.36816,2.875,102273.44,98998.06,0.25177872,0.0,0.0009388381
0,27.0,19.5,2024-01-01,0 days,0.0,2024-01-01,0.61851025,-0.66450214,283.83105,2.875,102262.06,99265.06,0.24294388,0.0,0.001594966
0,27.0,20.0,2024-01-01,0 days,0.0,2024-01-01,0.6595259,-0.5673342,283.6787,1.6875,102250.19,99542.06,0.23276627,0.0,0.0037769729
0,26.5,10.0,2024-01-01,0 days,0.0,2024-01-01,-1.0592241,0.24711895,284.1338,0.0,102343.94,95107.06,0.23743546,0.0,-0.00032764138
0,26.5,10.5,2024-01-01,0 days,0.0,2024-01-01,-1.4415483,0.14213848,283.40723,0.0,102344.19,95497.06,0.23217118,0.0,-0.00011401833
0,26.5,11.0,2024-01-01,0 days,0.0,2024-01-01,-1.329732,0.07524395,282.7041,0.0,102345.69,95608.06,0.21262467,0.0,0.000114863506
0,26.5,11.5,2024-01-01,0 days,0.0,2024-01-01,-0.963521,0.15922832,282.58496,0.0,102351.69,95260.06,0.19318497,0.0,0.0009388381
0,26.5,12.0,2024-01-01,0 days,0.0,2024-01-01,-0.48354053,0.23051739,282.4619,0.0,102357.44,95122.06,0.19211686,0.0,0.0020222121
0,26.5,12.5,2024-01-01,0 days,0.0,2024-01-01,-0.041157722,0.06645489,282.8545,0.0,102355.81,95585.06,0.19950211,0.0,0.007103389
0,26.5,13.0,2024-01-01,0 days,0.0,2024-01-01,0.067240715,-0.18598652,282.833,0.125,102348.31,96334.06,0.20440018,0.0,0.004082149
0,26.5,13.5,2024-01-01,0 days,0.0,2024-01-01,-0.030415535,-0.4413576,283.19434,0.25,102344.06,96565.06,0.19799149,0.0,0.00034374534
0,26.5,14.0,2024-01-01,0 days,0.0,2024-01-01,-0.33656788,-0.8681154,283.5381,0.3125,102335.94,96833.06,0.19515336,0.0,3.856956e-05
0,26.5,14.5,2024-01-01,0 days,0.0,2024-01-01,-0.4659624,-1.2982912,283.7119,0.1875,102331.19,96860.06,0.19677079,0.0,0.0001301223
0,26.5,15.0,2024-01-01,0 days,0.0,2024-01-01,-0.6021929,-1.5385256,283.46973,0.1875,102327.44,96904.06,0.1961757,0.0,0.00016063987
0,26.5,15.5,2024-01-01,0 days,0.0,2024-01-01,-0.6925249,-1.4945803,283.4248,0.0625,102325.44,96826.06,0.1955806,0.0,2.3310771e-05
0,26.5,16.0,2024-01-01,0 days,0.0,2024-01-01,-1.0182085,-1.5502443,283.2002,0.0625,102324.19,96763.06,0.1904689,0.0,0.00020641624
0,26.5,16.5,2024-01-01,0 days,0.0,2024-01-01,-1.0250444,-1.7924318,283.2041,0.125,102323.44,96334.06,0.1868068,0.0,0.0032886916
0,26.5,17.0,2024-01-01,0 days,0.0,2024-01-01,-0.70961475,-2.0067873,283.1963,0.1875,102323.06,95479.06,0.18422806,0.0,0.0060810503
0,26.5,17.5,2024-01-01,0 days,0.0,2024-01-01,-0.15785694,-2.0521975,283.64355,0.375,102316.56,95474.06,0.19364274,0.0,0.00022167503
0,26.5,18.0,2024-01-01,0 days,0.0,2024-01-01,0.47202587,-1.7377443,284.7744,0.6875,102296.44,97146.06,0.22669327,0.0,5.382835e-05
0,26.5,18.5,2024-01-01,0 days,0.0,2024-01-01,0.22690868,-1.1811037,284.5166,1.5625,102282.06,98494.06,0.27062333,0.0,3.856956e-05
0,26.5,19.0,2024-01-01,0 days,0.0,2024-01-01,0.14194775,-0.78168964,284.2998,1.5625,102271.31,98822.06,0.27608597,0.0,8.434593e-05
0,26.5,19.5,2024-01-01,0 days,0.0,2024-01-01,0.118021965,-0.54194355,283.7373,1.625,102260.06,99079.06,0.26435196,0.0,0.0008320266
